2026-09-03 13:48:59.768 PKT [13292] LOG:  starting PostgreSQL 18.4 on x86_64-windows, compiled by msvc-19.44.35226, 64-bit
2026-09-03 13:48:59.778 PKT [13292] LOG:  listening on IPv6 address "::1", port 5432
2026-09-03 13:48:59.778 PKT [13292] LOG:  listening on IPv4 address "127.0.0.1", port 5432
2026-09-03 13:49:00.150 PKT [21352] LOG:  database system was interrupted; last known up at 2026-09-02 16:45:40 PKT
2026-09-03 13:49:04.701 PKT [21352] LOG:  database system was not properly shut down; automatic recovery in progress
2026-09-03 13:49:04.707 PKT [21352] LOG:  redo starts at 0/238A020
2026-09-03 13:49:04.707 PKT [21352] LOG:  invalid record length at 0/238A128: expected at least 24, got 0
2026-09-03 13:49:04.707 PKT [21352] LOG:  redo done at 0/238A0F0 system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2026-09-03 13:49:04.729 PKT [18872] LOG:  checkpoint starting: end-of-recovery immediate wait
2026-09-03 13:49:04.760 PKT [18872] LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 2 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.005 s, sync=0.003 s, total=0.046 s; sync files=2, longest=0.002 s, average=0.002 s; distance=0 kB, estimate=0 kB; lsn=0/238A128, redo lsn=0/238A128
2026-09-03 13:49:04.790 PKT [13292] LOG:  database system is ready to accept connections
2026-09-03 13:59:04.777 PKT [18872] LOG:  checkpoint starting: time
2026-09-03 13:59:05.608 PKT [7172] ERROR:  update or delete on table "doctors" violates foreign key constraint "appointments_doctor_id_fkey" on table "appointments"
2026-09-03 13:59:05.608 PKT [7172] DETAIL:  Key (id)=(9a71f00c-6cce-4b4a-9758-e54a9c64406f) is still referenced from table "appointments".
2026-09-03 13:59:05.608 PKT [7172] STATEMENT:  DELETE FROM doctors WHERE doctors.id = $1::UUID
2026-09-03 13:59:08.996 PKT [18872] LOG:  checkpoint complete: wrote 38 buffers (0.2%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=4.164 s, sync=0.047 s, total=4.220 s; sync files=37, longest=0.004 s, average=0.002 s; distance=121 kB, estimate=121 kB; lsn=0/23AAE60, redo lsn=0/23A8548
2026-09-03 14:04:05.011 PKT [18872] LOG:  checkpoint starting: time
2026-09-03 14:04:05.803 PKT [18872] LOG:  checkpoint complete: wrote 7 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.770 s, sync=0.007 s, total=0.793 s; sync files=8, longest=0.002 s, average=0.001 s; distance=20 kB, estimate=110 kB; lsn=0/23AD7E8, redo lsn=0/23AD790
2026-09-03 14:18:39.566 PKT [17732] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2026-09-03 14:18:39.568 PKT [18516] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2026-09-03 14:18:39.567 PKT [8736] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2026-09-03 14:18:39.572 PKT [14956] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2026-09-03 17:46:39.742 PKT [18872] LOG:  checkpoint starting: time
2026-09-03 17:46:40.760 PKT [18872] LOG:  checkpoint complete: wrote 8 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.982 s, sync=0.013 s, total=1.034 s; sync files=9, longest=0.003 s, average=0.002 s; distance=22 kB, estimate=102 kB; lsn=0/23B2FE8, redo lsn=0/23B2F90
2026-09-03 17:46:56.059 PKT [4684] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2026-09-03 17:46:56.063 PKT [16088] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2026-09-03 17:46:56.067 PKT [14480] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2026-09-03 17:46:56.077 PKT [6528] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2026-09-03 17:46:56.096 PKT [780] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2026-09-03 17:51:39.771 PKT [18872] LOG:  checkpoint starting: time
2026-09-03 17:51:40.262 PKT [18872] LOG:  checkpoint complete: wrote 4 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.462 s, sync=0.018 s, total=0.493 s; sync files=5, longest=0.015 s, average=0.004 s; distance=15 kB, estimate=93 kB; lsn=0/23B6D78, redo lsn=0/23B6D20
2026-09-03 18:01:39.280 PKT [18872] LOG:  checkpoint starting: time
2026-09-03 18:01:39.814 PKT [18872] LOG:  checkpoint complete: wrote 4 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.472 s, sync=0.021 s, total=0.534 s; sync files=5, longest=0.011 s, average=0.005 s; distance=15 kB, estimate=85 kB; lsn=0/23BABE0, redo lsn=0/23BAB88
2026-09-03 18:09:32.102 PKT [4168] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2026-09-03 18:09:32.106 PKT [9300] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2026-09-03 18:09:32.107 PKT [13256] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2026-09-03 18:09:32.123 PKT [7864] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2026-09-03 18:11:39.844 PKT [18872] LOG:  checkpoint starting: time
2026-09-03 18:11:48.048 PKT [18872] LOG:  checkpoint complete: wrote 72 buffers (0.4%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=8.063 s, sync=0.117 s, total=8.206 s; sync files=54, longest=0.012 s, average=0.003 s; distance=323 kB, estimate=323 kB; lsn=0/240BB20, redo lsn=0/240BAC8
2026-09-03 18:16:39.054 PKT [18872] LOG:  checkpoint starting: time
2026-09-03 18:16:39.938 PKT [18872] LOG:  checkpoint complete: wrote 8 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.862 s, sync=0.010 s, total=0.885 s; sync files=9, longest=0.002 s, average=0.002 s; distance=30 kB, estimate=294 kB; lsn=0/24136D8, redo lsn=0/2413680
2026-09-03 18:20:15.068 PKT [18316] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2026-09-03 18:20:15.071 PKT [14548] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
